Date,Volume_stock,Adj_Close_stock,HiLo_vola_stock,Pct_change_stock,Pct_change_stock_scaled,Favs,RTs,Followers,Following,Is a RT,compound,neg,pos,Compound_multiplied,Compound_multiplied_scaled,Predicted_change_stock,Buy/Sell,KNN,LogReg,SVM linear,Decision Tree,Random Forest,KNN(Multiple Input),LogReg(Multiple Input),SVM linear(Multiple Input),Decision Tree(Multiple Input),Random Forest(Multiple Input)
2016-05-18 00:00:00,9136300,31.6677475,3.220944141,0,0.2765741,1.285714286,1,2138.161765,589.421875,0.073529412,0.117811427,0.441094287,0.558905714,517.440549,-0.00186356,-0.402717653,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1
2016-05-19 00:00:00,8875400,31.221035,2.882670669,-0.402717653,0.047424697,2.25,2.166666667,16391.31707,680.8,0.146341463,0.28468051,0.357659738,0.642340252,15064.39566,0.373714284,-0.897835673,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2016-05-20 00:00:00,7278000,31.08507729,2.766602774,-0.897835673,-0.234301218,2.5,4.153846154,4338.685714,1166.058824,0.157142857,0.14585065,0.427074678,0.572925326,2816.78162,0.057501548,-0.910763639,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2016-05-21 00:00:00,7018133.333,30.99444199,2.482657208,-0.910763639,-0.241657329,2.8,4.142857143,3130.058824,1718.9375,0.176470588,-0.093439008,0.546719502,0.453280494,572.6332076,-0.000438579,-0.923691605,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2016-05-22 00:00:00,6758266.667,30.90380669,2.198711642,-0.923691605,-0.249013439,1.865524286,4,2007.272727,1287.727273,0.181818182,-0.11188571,0.555942858,0.444057148,-812.2218908,-0.036193202,-0.936619571,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2016-05-23 00:00:00,6498400,30.81317139,1.914766076,-0.936619571,-0.25636955,1.5,1,2877.459459,612.0294118,0.054054054,0.114073647,0.442963179,0.557036827,-759.6713922,-0.034836437,0.815309317,1,1,-1,-1,1,1,-1,-1,-1,-1,-1
2016-05-24 00:00:00,6962700,31.221035,1.377271438,0.815309317,0.740491295,1.75,1.833333333,3170.279412,896.6,0.176470588,0.031722802,0.484138603,0.515861405,-733.9013099,-0.034171097,-0.679225764,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2016-05-25 00:00:00,7401800,31.24045753,2.560791726,-0.679225764,-0.109910519,1.125,1,2311.423729,1728.842105,0.033898305,0.081123331,0.459438337,0.540561669,209.066225,-0.009825265,-1.929663301,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1
2016-05-26 00:00:00,7222800,30.59952736,3.169981359,-1.929663301,-0.821418976,1.875,1,1936.830189,404.7647059,0.113207547,-0.05261653,0.526308264,0.473691734,-679.0081841,-0.032753849,0.158225432,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1
2016-05-27 00:00:00,8573700,30.73547935,1.399035623,0.158225432,0.366605573,1,1,1738.113636,797.4651163,0.045454545,-0.032095983,0.516047988,0.483952007,-174.5575655,-0.019729785,0.244653206,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1
